years,mileeage,value
2022,15000,226
2023,300,218
2023,300,228
2008,170000,20
2015,120000,65
2007,173000,19.8
2010,120000,22
2009,96500,20.8
2008,200000,18
2008,219000,16.8
2018,32000,135
2015,130000,79.8
2022,20000,193.8
2015,110000,71.8
2009,82000,14
2010,70000,22
2021,11000,179
2017,60000,118.8
2015,76000,92.8
2019,59000,139.8
2009,180000,25.8
2010,160000,23.8
2016,55000,82.8
2016,152000,71.3
2015,137000,88.8
2010,240000,19.8
2016,101000,75.8
2015,70000,86
2008,120000,14.8
2023,100200,245.8
2014,140400,76.8
2010,130000,26.8
2011,130000,27.8
2017,80000,95.8
2015,110000,69.8
2015,120000,66.8
2008,200000,16.8
2023,33000,228.8
2017,260000,13.8
2021,40000,182
2019,220000,26.8
2008,200000,18
2015,150000,75.8
2015,140000,79
2010,110000,25.8
2014,130000,68.8
2014,140000,65.8
2014,140000,68.4
2014,130000,73.8
2022,8000,228
2016,147000,93.8
2016,10000,88.8
